Instancia, F.O. Aleatorio, Time Aleatorio (s), F.O. GRASP, Time GRASP (s), F.O. VNS, Time VNS (s)
1,17238.869189999987,59, 19703.33990999998,59, 19703.005290000037,59
2,17363.179979999983,59, 19587.12018000005,59, 19587.120180000053,59
3,16988.891879999977,59, 19360.223930000022,59, 19360.223930000047,59
4,17016.360250000016,59, 19366.14941999999,59, 19366.69852000001,59
5,17312.963619999988,59, 19458.564660000036,59, 19458.564660000065,58
6,17113.593989999976,59, 19422.146400000016,59, 19422.146400000056,59
7,17412.487249999984,59, 19679.458250000036,59, 19680.20477000006,59
8,17087.717020000004,59, 19331.38841000004,59, 19331.388410000072,59
9,17036.197959999976,59, 19461.39460000003,59, 19461.394600000087,59
10,17107.85369999998,59, 19477.32577000002,59, 19477.325770000047,58
11,17264.75178999999,59, 19485.18697000004,58, 19485.186970000086,59
12,17210.289589999975,59, 19604.843560000045,59, 19604.843560000085,59
13,17436.860910000003,59, 19701.53477000003,59, 19701.53477000006,59
14,17193.176430000003,59, 19547.206850000028,59, 19547.206850000082,59
15,17294.00564999996,59, 19596.46837999998,59, 19596.468380000046,59
16,17268.029560000028,59, 19602.62199000002,59, 19602.62199000007,59
17,17270.47939999998,59, 19421.539080000028,59, 19421.539080000075,59
18,17297.982400000023,59, 19534.303580000014,58, 19534.303580000043,59
19,17348.36136,59, 19486.67755000003,59, 19487.320530000066,59
20,17026.82782000003,59, 19221.62878,59, 19221.628780000083,59
