numero_instancia, valor_FO, tiempo_de_ejecucion_(s)
1,17238.869189999987,59
2,17363.179979999983,59
3,16988.891879999977,59
4,17016.360250000016,59
5,17312.963619999988,59
6,17113.593989999976,59
7,17412.487249999984,59
8,17087.717020000004,59
9,17036.197959999976,59
10,17107.85369999998,59
11,17264.75178999999,59
12,17210.289589999975,59
13,17436.860910000003,59
14,17193.176430000003,59
15,17294.00564999996,59
16,17268.029560000028,59
17,17270.47939999998,59
18,17297.982400000023,59
19,17348.36136,59
20,17026.82782000003,59
